wavelengths	intensities
199.24153	0
199.25519	0
199.26886	0
199.28252	0
199.29617	0
199.30984	0
199.3235	0
199.33717	0
199.35083	0
199.36449	0
199.37816	0
199.39183	0
199.40549	0
199.41916	0
199.43282	0
199.44649	0
199.46016	0
199.47382	0
199.48749	0
199.50116	0
199.51483	0
199.5285	0
199.54216	0
199.55583	0
199.5695	0
199.58318	0
199.59685	0
199.61052	0
199.62419	0
199.63786	0
199.65154	0
199.66521	0
199.67889	0
199.69257	0
199.70624	0
199.71991	0
199.73358	0
199.74727	0
199.76094	0
199.77461	0
199.7883	0
199.80197	0
199.81564	0
199.82933	0
199.843	0
199.85669	0
199.87036	0
199.88405	0
199.89774	0
199.91141	0
199.92509	0
199.93877	0
199.95245	0
199.96614	0
199.97983	0
199.9935	0
200.00719	0
200.02087	0
200.03456	0
200.04825	0
200.06194	0
200.07562	0
200.08931	0
200.103	0
200.11668	0
200.13037	0
200.14406	0
200.15775	0
200.17143	0
200.18512	0
200.19881	0
200.21251	0
200.2262	0
200.23988	0
200.25357	0
200.26727	0
200.28096	0
200.29466	0
200.30835	0
200.32204	0
200.33574	244.466
200.34943	70.5211
200.36313	67.8712
200.37683	31.2342
200.39052	110.578
200.40422	46.1134
200.41791	-227.427
200.43161	-208.182
200.44531	-163.784
200.45901	-181.01
200.4727	195.463
200.4864	334.436
200.50011	327.041
200.51381	173.04
200.52751	55.8862
200.54121	43.2277
200.5549	-79.1019
200.5686	-187.759
200.58231	-142.984
200.59601	-77.4011
200.60971	117.681
200.62343	133.219
200.63713	-7.01208
200.65083	-222.751
200.66454	111.384
200.67824	142.771
200.69194	-51.2342
200.70566	-25.154
200.71936	-75.8589
200.73306	16.5682
200.74677	-21.8789
200.76048	-27.4398
200.77419	36.6893
200.7879	-93.4379
200.80161	56.8898
200.81532	209.22
200.82903	-37.1949
200.84274	42.4268
200.85645	-0.186627
200.87016	-184.611
200.88387	100.844
200.89758	245.806
200.9113	144.279
200.925	120.531
200.93872	125.811
200.95244	240.141
200.96616	323.294
200.97986	219.517
200.99358	307.76
201.00729	145.289
201.02101	76.0446
201.03473	82.9854
201.04845	153.778
201.06216	80.5777
201.07588	-110.706
201.0896	-75.437
201.10332	-67.0263
201.11703	-167.758
201.13075	-82.9544
201.14447	-11.3352
201.1582	22.188
201.17192	91.2419
201.18564	118.845
201.19936	233.507
201.21309	122.787
201.22681	133.958
201.24052	-146.668
201.25426	1.53384
201.26797	224.676
201.28171	250.627
201.29543	43.7996
201.30916	101.527
201.32288	119.91
201.33661	-91.6323
201.35033	101.455
201.36406	36.3191
201.37778	-43.4634
201.39151	-126.262
201.40524	-98.7761
201.41898	-143.798
201.43269	-42.416
201.44643	205.046
201.46016	250.213
201.47389	137.345
201.48763	-39.3128
201.50136	-112.655
201.51508	-64.7842
201.52881	-188.266
201.54254	267.476
201.55627	140.702
201.57001	269.967
201.58376	156.406
201.59749	163.572
201.61122	135.727
201.62495	-18.3099
201.63869	-141.788
201.65242	-66.309
201.66617	60.7908
201.6799	-72.7043
201.69363	-156.77
201.70737	-140.536
201.72112	-41.2422
201.73485	1.78295
201.7486	-16.879
201.76233	-6.49336
201.77608	55.6933
201.78981	-128.492
201.80356	-118.122
201.81729	-167.817
201.83104	-43.9887
201.84477	41.4409
201.85852	47.8947
201.87227	126.059
201.886	124.802
201.89975	194.725
201.9135	103.366
201.92725	162.73
201.94099	31.3998
201.95473	6.78907
201.96848	189.65
201.98222	224.517
201.99597	193.597
202.00972	174.034
202.02347	-15.4896
202.03722	-22.0477
202.05096	211.875
202.06471	207.492
202.07846	21.0525
202.09222	-11.5329
202.10597	27.714
202.11972	-110.553
202.13347	20.4472
202.14722	85.4556
202.16098	179.506
202.17473	211.986
202.18848	205.837
202.20224	283.614
202.21599	98.9518
202.22975	-115.666
202.2435	-248.991
202.25726	-102.083
202.27101	-149.979
202.28477	-102.713
202.29852	-10.6104
202.31229	-98.891
202.32603	-164.005
202.3398	-33.2744
202.35356	-82.8061
202.36732	-86.7049
202.38107	-9.4186
202.39484	1.95578
202.4086	-91.5333
202.42236	-112.693
202.43613	-15.0409
202.44989	14.923
202.46364	-71.4525
202.4774	65.1561
202.49117	-45.3577
202.50493	124.68
202.51869	233.628
202.53247	327.301
202.54623	88.9007
202.56	83.0766
202.57376	111.041
202.58752	146.714
202.60129	104.379
202.61507	201.672
202.62883	155.612
202.64259	130.162
202.65637	90.2465
202.67014	-191.298
202.6839	-162.211
202.69768	-188.782
202.71144	-179.492
202.72522	-55.9895
202.73898	-95.745
202.75276	111.834
202.76653	128.691
202.7803	-32.1676
202.79408	-7.61702
202.80785	98.4728
202.82162	96.6068
202.8354	-39.7365
202.84917	-135.101
202.86295	96.4691
202.87672	-54.7053
202.8905	-15.4059
202.90428	-48.0288
202.91806	205.863
202.93184	189.087
202.94562	101.458
202.9594	45.4424
202.97318	-29.3089
202.98695	-40.7504
203.00073	73.0702
203.01451	-93.6096
203.02829	88.368
203.04207	576.966
203.05585	363.285
203.06964	298.732
203.08342	298.159
203.0972	19.9625
203.11098	-3.18318
203.12477	56.9059
203.13855	110.693
203.15233	138.209
203.16612	246.728
203.1799	210.291
203.1937	304.118
203.20747	339.405
203.22127	92.457
203.23506	195.437
203.24884	229.165
203.26263	14.4803
203.27641	-3.71217
203.29021	10.808
203.304	2.46083
203.31779	103.358
203.33157	37.4477
203.34537	-115.49
203.35916	-80.374
203.37296	93.6488
203.38675	16.9003
203.40054	-43.0742
203.41434	-27.1317
203.42813	-69.2701
203.44193	27.276
203.45572	-267.296
203.46951	-122.496
203.48331	11.8291
203.4971	-137.092
203.51089	-86.1087
203.5247	-4.46253
203.5385	58.1444
203.55229	-29.2287
203.56609	-67.792
203.5799	-39.3659
203.59369	-44.8805
203.60748	-88.5927
203.62129	-39.1023
203.63509	-113.935
203.6489	71.2819
203.66269	88.3713
203.6765	-133.024
203.69029	-56.3198
203.7041	148.662
203.71791	240.814
203.7317	80.6012
203.74551	70.8334
203.75932	94.7884
203.77312	18.63
203.78693	-58.7257
203.80074	-63.2754
203.81454	-283.594
203.82835	-37.2292
203.84215	-24.1966
203.85596	-59.9105
203.86977	-152.817
203.88358	-43.2104
203.89738	-20.9213
203.91119	-100.499
203.925	-10.6218
203.93883	63.6586
203.95264	30.9044
203.96645	317.335
203.98026	64.0581
203.99406	40.952
204.00789	51.4242
204.0217	140.176
204.03551	300.488
204.04932	334.374
204.06314	349.472
204.07695	149.855
204.09077	137.868
204.10458	164.256
204.11841	325.833
204.13222	375.199
204.14604	340.43
204.15985	412.933
204.17368	120.5
204.1875	-11.1557
204.20131	133.997
204.21513	122.14
204.22896	118.577
204.24277	168.991
204.25659	65.7518
204.27042	65.6765
204.28424	57.4862
204.29807	59.9078
204.31189	136.439
204.32571	-82.4604
204.33954	-233.066
204.35336	12.4697
204.36719	17.5773
204.38101	-82.8999
204.39484	104.128
204.40866	-41.7553
204.42249	-6.40309
204.43631	78.4793
204.45013	115.842
204.46397	17.5598
204.4778	5.59501
204.49162	-164.283
204.50546	-32.4681
204.51929	-57.4751
204.53311	73.7081
204.54695	104.906
204.56078	461.676
204.57462	154.774
204.58844	130.507
